Latitude,Longitude,Locations,year,fatalities,ground
53.06993,-1.30301,"Selsdon Park, England",1932,1   (passengers:?  crew:?),0
-28.64693,153.61277,"Byron Bay, Australia",1932,3   (passengers:?  crew:?),0
18.09194,-15.97248,Mauritania,1932,1   (passengers:0  crew:1),0
-17.30918,-63.54842,"Villa Monte, Bolivia",1932,2   (passengers:0  crew:2),0
51.33268,1.42293,"Ramsgate, England",1932,2   (passengers:0  crew:2),0
52.51605,13.37691,Germany,1932,5   (passengers:3  crew:2),0
34.77396,-90.7667,"Marianna, Arkansas",1932,2   (passengers:1  crew:1),0
39.69188,-104.80123,"Rocky Ridge, Colorado",1932,1   (passengers:0  crew:1),0
35.20726,-101.83389,"Amarillo, Texas",1932,2   (passengers:0  crew:2),0
-20.70298,139.48691,"Wau, Australia",1932,2   (passengers:?  crew:?),0
36.77157,3.05927,Algiers,1933,1   (passengers:0  crew:1),0
40.73198,-74.17421,"Newark, New Jersey",1933,2   (passengers:0  crew:2),0
33.95319,-84.54588,"Marietta, Georgia",1933,1   (passengers:0  crew:1),0
29.78956,-98.72933,"Bourne, Texas",1933,1   (passengers:0  crew:1),0
44.04992,-123.08855,"Eugene, Oregon",1933,1   (passengers:0  crew:1),0
-32.89035,-68.84332,"Near Mendoza, Argentina",1933,2   (passengers:0  crew:2),0
37.67134,-122.08555,"Hayward, California",1933,3   (passengers:2  crew:1),11
51.03347,2.86578,"Near Dixmude, Belgium",1933,15   (passengers:12  crew:3),0
52.22799,10.70246,"Hemkenrode, Germany",1933,1   (passengers:?  crew:?),0
39.754,-74.22284,"Off Barnegat, New Jersey",1933,73   (passengers:?  crew:?),0
39.81271,16.2017,"Near Castrovillari, Calabria, Italy",1933,5   (passengers:3  crew:2),0
47.86742,12.64,"Traunstein, Germany",1933,4   (passengers:2  crew:2),0
41.847,2.39178,"Near Viladrau, Spain",1933,6   (passengers:3  crew:3),0
38.0519,-77.34774,"Bowling Green, Virginia",1933,1   (passengers:0  crew:1),0
42.07746,-87.79857,"Glenview, Illinois",1933,9   (passengers:7  crew:2),0
50.78467,-1.08818,Sea,1933,6   (passengers:2  crew:4),0
35.17237,-103.55027,"Quay, New Mexico",1933,5   (passengers:3  crew:2),0
31.88835,-116.584,Yugoslavia,1933,8   (passengers:6  crew:2),0
41.61108,-87.06298,"Chesterton, Indiana",1933,10   (passengers:7  crew:3),0
47.64189,6.67399,"Etobon, France",1933,2   (passengers:?  crew:?),0
45.5118,-122.67563,"Portland, Oregon",1933,4   (passengers:3  crew:1),?
35.00665,-106.04515,"Moriarty, New Mexico",1933,1   (passengers:0  crew:1),0
39.90657,116.38766,China,1933,8   (passengers:7  crew:1),?
50.0042,36.23577,"Near Kharkov, Ukraine, USSR",1933,14   (passengers:?  crew:?),0
41.43665,-88.77453,"Wedron, Illinois",1933,2   (passengers:?  crew:?),0
53.55375,9.99183,"Hamburg, Germany",1933,6   (passengers:4  crew:2),0
-28.88985,31.47451,"Eshowe, South Africa",1933,4   (passengers:?  crew:?),0
50.84439,4.35609,Belgium,1933,10   (passengers:8  crew:2),0
47.25756,3.68423,"Corbigny, France",1934,14   (passengers:10  crew:4),0
44.1091,5.1054,"Carombe, France",1934,2   (passengers:?  crew:?),0
40.76031,-111.88822,"Near Salt Lake City, Utah",1934,8   (passengers:5  crew:3),0
34.01794,-6.83605,Morocco,1934,1   (passengers:?  crew:?),0
40.01206,-89.85019,"Petersburg, Illinois",1934,4   (passengers:3  crew:?),0
4.80507,-75.6937,"Pereira, Colombia",1934,5   (passengers:3  crew:2),0
-12.05613,-77.0268,"Near Lima, Peru",1934,3   (passengers:0  crew:3),0
39.90657,116.38766,China,1934,3   (passengers:1  crew:2),0
54.27945,-7.08921,English Channel,1934,6   (passengers:3  crew:3),0
51.37235,-0.09945,"Croydon, England",1934,2   (passengers:0  crew:2),0
41.42658,-74.75634,"Mongaup Mountain, New York",1934,7   (passengers:4  crew:3),0
-34.58699,-60.95,"Junin, Argentina",1934,5   (passengers:2  crew:3),0
49.87008,9.20978,"Chausseehausen, Germany",1934,1   (passengers:0  crew:1),0
34.18193,-118.30765,"Burbank, California",1934,1   (passengers:0  crew:1),0
